Name,Display_Name,Type_1,Type_2,BST,HP,Attack,Defense,Sp_Attack,Sp_Defense,Speed,Ability_1,Ability_2,Ability_3
EELEKTRIK,Eelektrik,Electric,,405,65,85,70,75,70,40,,,
EELEKTROSS,Eelektross,Electric,,515,85,115,80,105,80,50,,,
EISCUE_ICE_FACE,Eiscue,Ice,,470,75,80,110,65,90,50,,,
EISCUE_NOICE_FACE,Eiscue,Ice,,470,75,80,70,65,50,130,,,
EKANS,Ekans,Poison,,288,35,60,44,40,54,55,Intimidate,Shed Skin,Unnerve
ELDEGOSS,Eldegoss,Grass,,460,60,50,90,80,120,60,Cotton Down,Regenerator,Effect Spore
ELECTABUZZ,Electabuzz,Electric,,490,65,83,57,95,85,105,Static,Vital Spirit,
ELECTIVIRE,Electivire,Electric,,555,75,123,67,95,85,110,Motor Drive,Vital Spirit,
ELECTRIKE,Electrike,Electric,,295,40,45,40,65,40,65,Static,Lightning Rod,Minus
ELECTRODE,Electrode,Electric,,340,60,50,70,80,80,0,,,
ELECTRODE_HISUIAN,Electrode,Electric,Grass,340,60,50,70,80,80,0,,,
ELEKID,Elekid,Electric,,360,45,63,37,65,55,95,Static,Vital Spirit,
ELGYEM,Elgyem,Psychic,,335,55,55,55,85,55,30,Telepathy,Synchronize,Analytic
EMBOAR,Emboar,Fire,Ground,528,110,123,65,100,65,65,Stamina,Reckless,
EMOLGA,Emolga,Electric,Flying,428,55,75,60,75,60,103,Static,Motor Drive,
EMPOLEON,Empoleon,Water,Steel,530,84,86,88,111,101,60,Torrent,Competitive,
ENAMORUS_INCARNATE,Enamorus,Fairy,Flying,580,74,115,70,135,80,106,Cute Charm,Contrary,
ENAMORUS_THERIAN,Enamorus,Fairy,Flying,580,74,115,110,135,100,46,Overcoat,,
ENTEI,Entei,Fire,,580,115,115,85,90,75,100,Pressure,Inner Focus,
ESCAVALIER,Escavalier,Bug,Steel,495,70,135,105,60,105,20,Swarm,Shell Armor,Overcoat
ESPATHRA,Espathra,Psychic,,481,95,60,60,101,60,105,Opportunist,Frisk,Speed Boost
ESPEON,Espeon,Psychic,,525,65,65,60,130,95,110,Synchronize,Synchronize,Magic Bounce
ESPURR,Espurr,Psychic,,355,62,48,54,63,60,68,Keen Eye,Infiltrator,Own Tempo
ETERNATUS,Eternatus,Poison,Dragon,690,140,85,95,145,95,130,,,
ETERNATUS_ETERNAMAX,Eternatus,Poison,Dragon,1125,255,115,250,125,250,130,,,
EXCADRILL,Excadrill,Ground,Steel,508,110,135,60,50,65,88,Sand Rush,Sand Force,Mold Breaker
EXEGGCUTE,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,Chlorophyll,Harvest,
EXEGGUTOR,Exeggutor,Grass,Psychic,455,95,95,85,125,0,55,Chlorophyll,Harvest,
EXEGGUTOR_ALOLAN,Exeggutor,Grass,Dragon,455,95,105,85,125,0,45,Frisk,Harvest,
EXPLOUD,Exploud,Normal,,417,104,91,63,91,0,68,Soundproof,Scrappy,
FALINKS,Falinks,Fighting,,470,65,100,100,70,60,75,Battle Armor,Defiant,
FARFETCHD,Farfetch'd,Normal,Flying,287,52,0,55,58,62,60,Keen Eye,Inner Focus,Defiant
FARFETCHD_GALARIAN,Farfetch'd,Fighting,,282,52,0,55,58,62,55,Steadfast,Scrappy,
FARIGIRAF,Farigiraf,Normal,Psychic,520,120,90,70,110,70,60,Cud Chew,Armor Tail,Sap Sipper
FEEBAS,Feebas,Water,,200,20,15,20,10,55,80,Swift Swim,Oblivious,Adaptability
FENNEKIN,Fennekin,Fire,,307,40,45,40,62,60,60,Blaze,Magician,
FERALIGATR,Feraligatr,Water,Time,550,90,115,105,69,80,91,See You Later,Sheer Force,
FERROSEED,Ferroseed,Grass,Steel,305,44,50,91,24,86,10,,,
FERROTHORN,Ferrothorn,Grass,Steel,489,74,94,131,54,116,20,Iron Barbs,Anticipation,
FEZANDIPITI,Fezndipiti,Poison,Fairy,555,88,91,82,70,125,99,Toxic Chain,Technician,
FIDOUGH,Fidough,Fairy,,312,37,55,70,30,55,65,Own Tempo,Klutz,
FINIZEN,Finizen,Water,,315,70,45,40,45,40,75,,,
FINNEON,Finneon,Water,,330,49,49,56,49,61,66,Swift Swim,Water Absorb,Water Veil
FLAAFFY,Flaaffy,Electric,,365,70,55,55,80,60,45,Static,Plus,
FLAMIGO,Flamigo,Flying,Fighting,500,82,115,74,75,64,90,Scrappy,Tangled Feet,Costar
FLAREON,Flareon,Fire,,525,65,130,60,95,110,65,Flash Fire,Flash Fire,Guts
FLETCHINDER,Flechinder,Fire,Flying,382,62,73,55,56,52,84,Flame Body,Gale Wings,
FLETCHLING,Fletchling,Normal,Flying,278,45,50,43,40,38,62,Big Pecks,Gale Wings,
FLITTLE,Flittle,Psychic,,255,30,35,30,55,30,75,Anticipation,Frisk,Speed Boost
FLOATZEL,Floatzel,Water,,495,85,105,55,85,50,115,Swift Swim,Water Veil,
FLOETTE_ETERNAL_FLOWER,Floette Eternal Flower,,,551,74,65,67,125,128,92,,,
FLORAGATO,Floragato,Grass,,410,61,80,63,60,63,83,Overgrow,Protean,
FLUTTER_MANE,FluttrMane,Ghost,Fairy,570,55,55,55,135,135,135,,,
FLYGON,Flygon,Ground,Dragon,520,80,100,80,80,80,100,Levitate,Levitate,Levitate
FOMANTIS,Fomantis,Grass,,268,44,55,38,55,38,38,Leaf Guard,Contrary,
FOONGUS,Foongus,Grass,Poison,294,69,55,45,55,55,15,Effect Spore,Regenerator,
FORRETRESS,Forretress,Bug,Steel,470,75,90,140,60,60,45,Sturdy,Overcoat,
FRAXURE,Fraxure,Dragon,,410,66,117,70,40,50,67,Rivalry,Mold Breaker,Unnerve
FRIGIBAX,Frigibax,Dragon,Ice,320,65,75,45,35,45,55,Thermal Exchange,Ice Body,
FRILLISH,Frillish,Water,Ghost,335,55,40,50,65,85,40,Water Absorb,Cursed Body,Damp
FROAKIE,Froakie,Water,,314,41,56,40,62,44,71,Torrent,Protean,
FROGADIER,Frogadier,Water,,405,54,63,52,83,56,97,Torrent,Protean,
FROSLASS,Froslass,Ice,Ghost,480,70,80,70,80,70,110,Snow Cloak,Cursed Body,
FROSMOTH,Frosmoth,Ice,Bug,500,80,65,70,125,95,65,Ice Scales,Marvel Scale,
FUECOCO,Fuecoco,Fire,,310,67,45,59,63,40,36,Blaze,Unaware,
FURRET,Furret,Normal,,415,85,76,64,45,55,90,Run Away,Keen Eye,Frisk
SMOLIV,G'ning,Ice,Ground,320,65,40,70,60,50,35,Mages Might,Filter,
ARBOLIVA,G'nogra,Grass,Normal,510,78,69,90,125,109,39,Mages Might,Filter,
DOLLIV,G'noling,Ice,Ground,420,90,50,80,80,65,55,Mages Might,Filter,
GABITE,Gabite,Dragon,Ground,410,68,90,65,50,55,82,Sand Veil,Dry Skin,Anger Shell
GALLADE,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,Steadfast,Sharpness,Justified
GALLADE_MEGA,Gallade,Psychic,Fighting,618,68,165,95,65,115,110,Inner Focus,Inner Focus,Inner Focus
GALVANTULA,Galvantula,Bug,Electric,472,70,77,60,97,60,108,Compound Eyes,Unnerve,Swarm
GARCHOMP,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,Sand Veil,Rough Skin,Anger Shell
GARCHOMP_MEGA,Garchomp,Dragon,Ground,700,108,170,115,120,95,92,Sand Force,Sand Force,Sand Force
GARDEVOIR,Gardevoir,,,518,68,65,65,125,115,80,Synchronize,Trace,Telepathy
GARDEVOIR_MEGA,Gardevoir,,,618,68,85,65,165,135,100,Pixilate,Pixilate,Pixilate
GARGANACL,Garganacl,Rock,,500,100,100,130,45,90,35,Purifying Salt,Sturdy,Clear Body
GASTLY,Gastly,Ghost,Poison,310,30,35,30,100,35,80,,,
GENGAR,Gengar,Ghost,Poison,500,60,65,60,130,75,110,,,
GENGAR_GIGANTAMAX,Gengar,Ghost,Poison,500,60,65,60,130,75,110,,,
GENGAR_MEGA,Gengar,Ghost,Poison,600,60,65,80,170,95,130,Shadow Tag,Shadow Tag,Shadow Tag
GHOLDENGO,Gholdengo,Steel,Ghost,550,87,60,95,133,91,84,,,
GIBLE,Gible,Dragon,Ground,300,58,70,45,40,45,42,Sand Veil,Strong Jaw,Anger Shell
GIGALITH,Gigalith,Rock,,435,85,135,130,60,0,25,Sturdy,Sand Stream,Sand Force
GIMMIGHOUL_CHEST,Gimmighoul,Ghost,,300,45,30,70,75,70,10,,,
GIMMIGHOUL_ROAMING,Gimmighoul,Ghost,,300,45,30,25,75,45,80,,,
GIRAFARIG,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,Inner Focus,Early Bird,Sap Sipper
GIRATINA_ALTERED,Giratina,Ghost,Dragon,680,150,100,120,100,120,90,Pressure,Telepathy,
GIRATINA_ORIGIN,Giratina,Ghost,Dragon,680,150,120,100,120,100,90,Levitate,,
GLACEON,Glaceon,Ice,,525,65,60,110,130,95,65,Snow Cloak,Snow Cloak,Ice Body
GLALIE,Glalie,Ice,,480,80,80,80,80,80,80,Inner Focus,Ice Body,Moody
GLALIE_MEGA,Glalie,Ice,,580,80,120,80,120,80,100,Refrigerate,Refrigerate,Refrigerate
GLAMEOW,Glameow,Normal,,310,49,55,42,42,37,85,Limber,Own Tempo,Keen Eye
GLASTRIER,Glastrier,Ice,,580,100,145,130,65,110,30,,,
GLIGAR,Gligar,Ground,Flying,430,65,75,105,35,65,85,Hyper Cutter,Sand Veil,Immunity
GLIMMET,Glimmet,Rock,Poison,350,48,35,42,105,60,60,Toxic Debris,Corrosion,
GLIMMORA,Glimmora,Rock,Poison,525,83,55,90,130,81,86,Toxic Debris,Corrosion,
GLISCOR,Gliscor,Ground,Flying,510,75,95,125,45,75,95,Hyper Cutter,Sand Veil,Poison Heal
GLOOM,Gloom,Grass,Poison,395,60,65,70,85,75,40,Chlorophyll,Stench,
GOGOAT,Gogoat,Grass,,531,123,100,62,97,81,68,Sap Sipper,Grass Pelt,
GOLBAT,Golbat,Poison,Flying,455,75,80,70,65,75,90,Inner Focus,Wind Rider,Infiltrator
GOLDEEN,Goldeen,Water,,320,45,67,60,35,50,63,Swift Swim,Water Veil,Lightning Rod
GOLDUCK,Golduck,Water,,500,80,82,78,95,80,85,Damp,Cloud Nine,Swift Swim
GOLETT,Golett,Ground,Ghost,303,59,74,50,35,50,35,Iron Fist,Klutz,No Guard
GOLISOPOD,Golisopod,Bug,Water,540,80,125,140,60,90,45,,,
GOLURK,Golurk,Ground,Ghost,483,89,124,80,55,80,55,Iron Fist,Klutz,No Guard
GOODRA,Goodra,Dragon,,600,90,100,70,110,150,80,Sap Sipper,Hydration,Gooey
GOODRA_HISUIAN,Goodra,Dragon,Steel,600,80,100,100,110,150,60,Sap Sipper,Shell Armor,Gooey
GOOMY,Goomy,Dragon,,300,45,50,35,55,75,40,Sap Sipper,Hydration,Gooey
GOREBYSS,Gorebyss,Water,,485,55,84,105,114,75,52,Swift Swim,Hydration,
GOSSIFLEUR,Gossifleur,Grass,,250,40,40,60,40,60,10,Cotton Down,Regenerator,Effect Spore
GOTHITA,Gothita,Psychic,,290,45,30,50,55,65,45,Competitive,Frisk,Shadow Tag
GOTHITELLE,Gothitelle,Psychic,Dark,490,70,55,95,95,110,65,Competitive,Frisk,Shadow Tag
GOTHORITA,Gothorita,Psychic,Dark,390,60,45,70,75,85,55,Competitive,Frisk,Shadow Tag
GRAFAIAI,Grafaiai,Poison,Normal,485,63,95,65,80,72,110,Unburden,Poison Touch,Prankster
GRANBULL,Granbull,Fairy,,450,90,120,75,60,60,45,Intimidate,Quick Feet,Rattled
GRAPPLOCT,Grapploct,Fighting,,480,80,118,90,70,80,42,Limber,Technician,
GREAT_TUSK,Great Tusk,Ground,Fighting,570,115,131,131,53,53,87,,,
GREAVARD,Greavard,Ghost,,290,50,61,60,30,55,34,Pickup,Fluffy,
GREEDENT,Greedent,Normal,,460,120,95,95,55,75,20,Cheek Pouch,Gluttony,
GRENINJA,Greninja,Water,Dark,640,72,145,67,153,71,132,Torrent,Protean,
GRENINJA_ASH,Greninja,Water,Dark,640,72,145,67,153,71,132,Battle Bond,,
GRENINJA_BATTLE_BOND,Greninja,Water,Dark,640,72,145,67,153,71,132,Battle Bond,,
GROOKEY,Grookey,Grass,,310,50,65,50,40,40,65,Overgrow,Grassy Surge,
GROTLE,Grotle,Grass,,405,75,89,85,55,65,36,Overgrow,Shell Armor,
GROUDON,Groudon,Ground,,670,100,150,140,100,90,90,,,
GROUDON_PRIMAL,Groudon,Ground,Fire,770,100,180,160,150,90,90,,,
GROVYLE,Grovyle,Grass,Dragon,425,50,85,45,85,65,95,Unburden,Sharpness,
GROWLITHE,Growlithe,Fire,,350,55,70,45,70,50,60,Intimidate,Flash Fire,Justified
GROWLITHE_HISUIAN,Growlithe,Fire,Rock,350,60,75,45,65,50,55,Intimidate,Flash Fire,Rock Head
GRUBBIN,Grubbin,Bug,,300,47,62,45,55,45,46,,,
GRUMPIG,Grumpig,Psychic,,470,80,45,65,90,110,80,Thick Fat,Own Tempo,Gluttony
GULPIN,Gulpin,Poison,,302,70,43,53,43,53,40,Liquid Ooze,Sticky Hold,Gluttony
GUMSHOOS,Gumshoos,Normal,,418,88,110,60,55,60,45,Looper,Adaptability,
GURDURR,Gurdurr,Fighting,,405,85,105,85,40,50,40,Guts,Sheer Force,Iron Fist
GUZZLORD,Guzzlord,Dark,Dragon,570,223,101,53,97,53,43,,,
PARAS,Gwaqo,Fairy,Ground,413,93,54,42,77,56,91,Power Of Alchemy,Wonder Skin,Contrary
GYARADOS,Gyarados,Water,Flying,540,95,125,79,60,100,81,Intimidate,Moxie,
GYARADOS_MEGA,Gyarados,Water,Dark,640,95,155,109,70,130,81,Mold Breaker,Mold Breaker,Mold Breaker
FEAROW,Gyr'n,Normal,Steel,444,73,93,75,67,61,75,Momentum,Speed Boost,
HAKAMO_O,Hakamo-o,Dragon,Fighting,420,55,75,90,65,70,65,Bulletproof,Soundproof,Overcoat
HAPPINY,Happiny,Normal,,220,100,5,5,15,65,30,Natural Cure,Serene Grace,Friend Guard
HARIYAMA,Hariyama,Fighting,,474,144,120,60,40,60,50,Thick Fat,Guts,Sheer Force
HATENNA,Hatenna,Psychic,,265,42,30,45,56,53,39,Healer,Anticipation,Magic Bounce
HATTREM,Hattrem,Psychic,,370,57,40,65,86,73,49,Healer,Anticipation,Magic Bounce
HAUNTER,Haunter,Ghost,Poison,405,45,50,45,115,55,95,,,
HAWLUCHA,Hawlucha,Fighting,Flying,500,78,92,75,74,63,118,Limber,Unburden,Mold Breaker
HAXORUS,Haxorus,Dragon,,540,76,147,90,60,70,97,Rivalry,Mold Breaker,Unnerve
HEATMOR,Heatmor,Fire,,484,85,97,66,105,66,65,Gluttony,Flash Fire,White Smoke
HEATRAN,Heatran,Fire,Steel,600,91,90,106,130,106,77,Flash Fire,Flame Body,
HELIOLISK,Heliolisk,Electric,Fire,481,62,55,52,109,94,109,Drought,Electric Surge,Solar Power
HELIOPTILE,Helioptile,Electric,Normal,289,44,38,33,61,43,70,Drought,Electric Surge,Solar Power
HERACROSS,Heracross,Bug,Fighting,500,80,125,75,40,95,85,Swarm,Guts,Moxie
HERACROSS_MEGA,Heracross,Bug,Fighting,600,80,185,115,40,105,75,Skill Link,Skill Link,Skill Link
HERDIER,Herdier,Normal,,370,65,80,65,35,65,60,Intimidate,Sand Rush,Scrappy
HIPPOPOTAS,Hippopotas,Ground,,330,68,72,78,38,42,32,Sand Stream,Sand Force,
HIPPOWDON,Hippowdon,Ground,,525,108,112,118,68,72,47,Sand Stream,Sand Force,
HITMONCHAN,Hitmonchan,Fighting,,455,50,105,79,35,110,76,Keen Eye,Iron Fist,Inner Focus
HITMONLEE,Hitmonlee,Fighting,,455,50,120,53,35,110,87,Limber,Reckless,Unburden
HITMONTOP,Hitmontop,Fighting,,455,50,95,95,35,110,70,Intimidate,Technician,Steadfast
HO_OH,Ho-Oh,Fire,Flying,680,106,130,90,110,154,90,Pressure,Regenerator,
HONCHKROW,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,Insomnia,Super Luck,Moxie
HONEDGE,Honedge,Steel,Ghost,325,45,80,100,35,37,28,,,
HOOPA_CONFINED,Hoopa,Psychic,Ghost,600,80,110,60,150,130,70,,,
HOOPA_UNBOUND,Hoopa,Psychic,Dark,680,80,160,60,170,130,80,,,
HOOTHOOT,Hoothoot,Time,Flying,262,60,30,30,36,56,50,Insomnia,Keen Eye,Tinted Lens
HOPPIP,Hoppip,Grass,Flying,250,35,35,40,35,55,50,Chlorophyll,Leaf Guard,Infiltrator
HORSEA,Horsea,Water,,295,30,40,70,70,25,60,Swift Swim,Sniper,Damp
HOUNDOOM,Houndoom,Dark,Fire,500,75,90,50,110,80,95,Early Bird,Flash Fire,Unnerve
HOUNDOOM_MEGA,Houndoom,Dark,Fire,600,75,90,90,140,90,115,Solar Power,Solar Power,Solar Power
HOUNDOUR,Houndour,Dark,Fire,330,45,60,30,80,50,65,Early Bird,Flash Fire,Unnerve
HOUNDSTONE,Houndstone,Ghost,,488,72,101,100,50,97,68,Sand Rush,Fluffy,
HUNTAIL,Huntail,Water,,485,55,104,105,94,75,52,Swift Swim,Water Veil,
HYDREIGON,Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,,,
HYPNO,Hypno,Psychic,,483,85,73,70,73,115,67,Insomnia,Forewarn,Inner Focus
IGGLYBUFF,Igglybuff,,,210,90,30,15,40,20,15,Cute Charm,Competitive,Friend Guard
ILLUMISE,Illumise,Bug,,430,65,47,75,73,85,85,Oblivious,Tinted Lens,Prankster
IMPIDIMP,Impidimp,Dark,Fairy,265,45,45,30,55,40,50,Prankster,Frisk,Pickpocket
INCINEROAR,Incineroar,Fire,Dark,530,95,115,90,80,90,60,Blaze,Intimidate,
INDEEDEE_FEMALE,Indeedee,Psychic,Normal,475,70,55,65,95,105,85,Own Tempo,Synchronize,Psychic Surge
INDEEDEE_MALE,Indeedee,Psychic,Normal,475,60,65,55,105,95,95,Inner Focus,Synchronize,Psychic Surge
INFERNAPE,Infernape,Fire,Fairy,550,88,110,65,110,65,112,Blaze,,
INKAY,Inkay,Dark,Psychic,288,53,54,53,37,46,45,Contrary,Suction Cups,Infiltrator
IRON_HANDS,Iron Hands,Fighting,Electric,570,154,140,108,50,68,50,,,
IRON_MOTH,Iron Moth,Fire,Poison,570,80,70,60,140,110,110,,,
IRON_BUNDLE,IronBundle,Ice,Water,570,56,80,114,124,60,136,,,
IRON_JUGULIS,IronJuguls,Dark,Flying,570,94,80,86,122,80,108,,,
IRON_LEAVES,IronLeaves,Grass,Psychic,590,90,130,88,70,108,104,,,
IRON_THORNS,IronThorns,Rock,Electric,570,100,134,110,70,84,72,,,
IRON_TREADS,IronTreads,Ground,Steel,570,90,112,120,72,70,106,,,
IRON_VALIANT,IronVliant,Fairy,Fighting,590,74,130,90,120,60,116,,,
IVYSAUR,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,Overgrow,Chlorophyll,
JANGMO_O,Jangmo-o,Dragon,,300,45,55,65,45,45,45,Bulletproof,Soundproof,Overcoat
YUNGOOS,Jargander,Time,Dragon,446,70,75,60,75,65,101,Looper,Adaptability,
JELLICENT,Jellicent,Water,Ghost,480,100,60,70,85,105,60,Water Absorb,Cursed Body,Damp
JIGGLYPUFF,Jigglypuff,,,375,120,65,45,65,35,45,Cute Charm,Defiant,Wind Rider
JIRACHI,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,,,
TRANQUILL,Jodaster,Fairy,Dark,445,57,92,55,50,77,114,Fairy Aura,Prankster,Moxie
JOLTEON,Jolteon,Electric,,525,65,65,60,110,95,130,Volt Absorb,Volt Absorb,Quick Feet
JOLTIK,Joltik,Bug,Electric,319,50,47,50,57,50,65,Compound Eyes,Unnerve,Swarm
JUMPLUFF,Jumpluff,Grass,Flying,365,75,55,70,55,0,110,Chlorophyll,Leaf Guard,Infiltrator
JYNX,Jynx,Ice,Psychic,455,65,50,35,115,95,95,Oblivious,Forewarn,Dry Skin
KABUTO,Kabuto,Rock,Water,355,30,80,90,55,45,55,Swift Swim,Battle Armor,Weak Armor
KABUTOPS,Kabutops,Rock,Water,495,60,115,105,65,70,80,Swift Swim,Battle Armor,Weak Armor
KADABRA,Kadabra,Psychic,,400,40,35,30,120,70,105,Synchronize,Inner Focus,Magic Guard
KAKUNA,Kakuna,Bug,Poison,310,65,30,80,15,80,40,Shed Skin,Filter,Anger Point
KANGASKHAN,Kangaskhan,Normal,,490,105,95,80,40,80,90,Early Bird,Scrappy,Inner Focus
KANGASKHAN_MEGA,Kangaskhan,Normal,,590,105,125,100,60,100,100,Parental Bond,Parental Bond,Parental Bond
KARRABLAST,Karrablast,Bug,,315,50,75,45,40,45,60,Swarm,Shed Skin,No Guard
KARTANA,Kartana,Grass,Steel,570,59,181,131,59,31,109,,,
KECLEON,Kecleon,Normal,,440,60,90,70,60,120,40,Color Change,Protean,
KILOWATTREL,Kilowatrel,Electric,Flying,490,70,70,60,105,60,125,Wind Power,Volt Absorb,Competitive
KINGAMBIT,Kingambit,Dark,Steel,550,100,135,120,60,85,50,Defiant,Supreme Overlord,Pressure
KINGDRA,Kingdra,Water,Dragon,540,75,95,95,95,95,85,Swift Swim,Sniper,Damp
KIRLIA,Kirlia,,,278,38,35,35,65,55,50,Synchronize,Trace,Telepathy
KLANG,Klang,Steel,,440,60,80,95,70,85,50,Plus,Minus,Clear Body
KLAWF,Klawf,Rock,Bug,450,70,100,115,35,55,75,Anger Shell,Shell Armor,Regenerator
KLEAVOR,Kleavor,Bug,Rock,500,70,135,95,45,70,85,Swarm,Sheer Force,Sharpness
KLEFKI,Klefki,Steel,Fairy,470,57,80,91,80,87,75,Prankster,Magician,
KLINK,Klink,Steel,,300,40,55,70,45,60,30,Plus,Minus,Clear Body
KLINKLANG,Klinklang,Steel,,520,60,100,115,70,85,90,Plus,Minus,Clear Body
KOFFING,Koffing,Poison,,340,40,65,95,60,45,35,Levitate,Neutralizing Gas,Stench
KOMALA,Komala,Normal,,480,65,115,65,75,95,65,,,
KOMMO_O,Kommo-o,Dragon,Fighting,600,75,110,125,100,105,85,Bulletproof,Soundproof,Overcoat
KORAIDON,Koraidon,Fighting,Dragon,670,100,135,115,85,100,135,Orichalcum Pulse,,
KRABBY,Krabby,Water,Steel,325,30,105,90,25,25,50,Hyper Cutter,Shell Armor,Sheer Force
KRICKETOT,Kricketot,Bug,,194,37,25,41,25,41,25,Shed Skin,Run Away,
KRICKETUNE,Kricketune,Bug,,384,77,85,51,55,51,65,Swarm,Technician,
KROKOROK,Krokorok,Ground,Dark,351,60,82,45,45,45,74,Intimidate,Moxie,Anger Point
KROOKODILE,Krookodile,Ground,Dark,439,95,117,0,65,70,92,Intimidate,Moxie,Anger Point
KUBFU,Kubfu,Fighting,,385,60,90,60,53,50,72,,,
KYOGRE,Kyogre,Water,,670,100,100,90,150,140,90,,,
KYOGRE_PRIMAL,Kyogre,Water,,770,100,150,90,180,160,90,,,
KYUREM,Kyurem,Dragon,Ice,660,125,130,90,130,90,95,,,
KYUREM_BLACK,Kyurem,Dragon,Ice,700,125,170,100,120,90,95,,,
KYUREM_WHITE,Kyurem,Dragon,Ice,700,125,120,90,170,100,95,,,
LAIRON,Lairon,Steel,Rock,430,60,90,140,50,50,40,Sturdy,Rock Head,Heavy Metal
LAMPENT,Lampent,Ghost,Fire,370,60,40,60,95,60,55,Flash Fire,Flame Body,Infiltrator
LANDORUS_INCARNATE,Landorus,Ground,Flying,600,89,125,90,115,80,101,Sand Force,Sheer Force,
LANDORUS_THERIAN,Landorus,Ground,Flying,600,89,145,90,105,80,91,Sand Force,Sheer Force,
LANTURN,Lanturn,Water,Electric,460,125,58,58,76,76,67,Volt Absorb,Water Absorb,Flare Boost
LARVESTA,Larvesta,Bug,Fire,360,55,85,55,50,55,60,Flame Body,Swarm,
LARVITAR,Larvitar,Rock,Ground,300,50,64,50,45,50,41,Guts,Sand Veil,
LATIAS,Latias,Dragon,Psychic,600,80,80,90,110,130,110,,,
LATIAS_MEGA,Latias,Dragon,Psychic,700,80,100,120,140,150,110,Levitate,Levitate,Levitate
LATIOS,Latios,Dragon,Psychic,600,80,90,80,130,110,110,,,
LATIOS_MEGA,Latios,Dragon,Psychic,700,80,130,100,160,120,110,Levitate,Levitate,Levitate
LEAFEON,Leafeon,Grass,,525,65,110,130,60,65,95,Leaf Guard,Leaf Guard,Chlorophyll
LEAVANNY,Leavanny,Bug,Grass,420,75,103,80,70,0,92,Swarm,Chlorophyll,Overcoat
LECHONK,Lechonk,Normal,,254,54,45,40,35,45,35,Aroma Veil,Gluttony,Thick Fat
LICKILICKY,Lickilicky,Normal,,515,110,85,95,80,95,50,Own Tempo,Oblivious,Cloud Nine
LICKITUNG,Lickitung,Normal,,385,90,55,75,60,75,30,Own Tempo,Oblivious,Cloud Nine
LIEPARD,Liepard,Dark,,446,64,88,50,88,50,106,Limber,Unburden,Prankster
LILEEP,Lileep,Rock,Grass,355,66,41,77,61,87,23,Suction Cups,Storm Drain,
LILLIGANT,Lilligant,Grass,,480,70,60,75,110,75,90,Chlorophyll,Grassy Surge,Leaf Guard
LILLIGANT_HISUIAN,Lilligant,Grass,Fighting,480,70,105,75,50,75,105,Chlorophyll,Hustle,Leaf Guard
LILLIPUP,Lillipup,Normal,,275,45,60,45,25,45,55,Vital Spirit,Pickup,Run Away
LINOONE,Linoone,Normal,,430,78,70,61,55,61,105,Pickup,Gluttony,Quick Feet
LINOONE_GALARIAN,Linoone,Dark,Normal,430,78,70,61,55,61,105,Pickup,Gluttony,Quick Feet
LITLEO,Litleo,Fire,Normal,369,62,50,58,73,54,72,Rivalry,Unnerve,Moxie
LITTEN,Litten,Fire,,320,45,65,40,60,40,70,Blaze,Intimidate,
LITWICK,Litwick,Ghost,Fire,275,50,30,55,65,55,20,Flash Fire,Flame Body,Infiltrator
LOKIX,Lokix,Bug,Dark,450,71,102,78,52,55,92,Swarm,Tinted Lens,
LOMBRE,Lombre,Water,Grass,340,60,50,50,60,70,50,Swift Swim,Rain Dish,Own Tempo
LOPUNNY,Lopunny,Normal,,480,65,76,84,54,96,105,Cute Charm,Klutz,Limber
LOPUNNY_MEGA,Lopunny,Normal,Fighting,580,65,136,94,54,96,135,Scrappy,Scrappy,Scrappy
LOTAD,Lotad,Water,Grass,220,40,30,30,40,50,30,Swift Swim,Rain Dish,Own Tempo
LOUDRED,Loudred,Normal,,360,84,71,43,71,43,48,Soundproof,Scrappy,
LUCARIO,Lucario,Fighting,Steel,525,70,110,70,115,70,90,Steadfast,Inner Focus,Justified
LUCARIO_MEGA,Lucario,Fighting,Steel,625,70,145,88,140,70,112,Adaptability,Adaptability,Adaptability
LUDICOLO,Ludicolo,Water,Grass,490,85,70,70,90,100,75,Swift Swim,Dancer,Own Tempo
LUGIA,Lugia,Psychic,Flying,680,106,90,130,90,154,110,Pressure,Multiscale,
LUMINEON,Lumineon,Water,Psychic,460,69,69,76,69,86,91,Swift Swim,Storm Drain,Water Veil
LUNALA,Lunala,Psychic,Ghost,680,137,113,89,137,107,97,,,
LUNATONE,Lunatone,Rock,Psychic,370,0,55,65,95,85,70,,,
LURANTIS,Lurantis,Grass,Fighting,510,75,105,95,85,95,55,Leaf Guard,Sharpness,Contrary
LUVDISC,Luvdisc,Water,Fairy,330,43,30,55,40,65,97,Swift Swim,Healer,Hydration
LUXIO,Luxio,Electric,,363,60,85,49,60,49,60,Rivalry,Intimidate,Guts
LUXRAY,Luxray,Electric,,523,80,120,79,95,79,70,Rivalry,Intimidate,Guts
LYCANROC_DUSK,Lycanroc,Rock,,487,75,117,65,55,65,110,Keen Eye,Sand Rush,Steadfast
